allocator,baseline,baseline_hit1,capacity,delta_hit1,manager_hit1,manager_variant,queries,seed,window_size
BestFitAllocator,sliding,0.801,65536.0,0.013166666666666667,0.8141666666666667,ttl_mark,6000.0,0.0,150.0
BestFitAllocator,reservoir,0.5221666666666667,65536.0,0.292,0.8141666666666667,ttl_mark,6000.0,0.0,150.0
BestFitAllocator,sliding,0.801,65536.0,0.013166666666666667,0.8141666666666667,ttl_mark_gen,6000.0,0.0,150.0
BestFitAllocator,reservoir,0.7321666666666666,65536.0,0.082,0.8141666666666667,ttl_mark_gen,6000.0,0.0,150.0
BestFitAllocator,sliding,0.801,131072.0,0.013166666666666667,0.8141666666666667,ttl_mark,6000.0,0.0,150.0
BestFitAllocator,reservoir,0.5408333333333334,131072.0,0.2733333333333333,0.8141666666666667,ttl_mark,6000.0,0.0,150.0
BestFitAllocator,sliding,0.801,131072.0,0.013166666666666667,0.8141666666666667,ttl_mark_gen,6000.0,0.0,150.0
BestFitAllocator,reservoir,0.5535,131072.0,0.26066666666666666,0.8141666666666667,ttl_mark_gen,6000.0,0.0,150.0
