config,steps,queries,hit_at_1,hit_at_3,mrr,avg_heap_used,avg_fragmentation,avg_object_count,gc_cycles,ttl_cycles,ttl_freed,mark_and_sweep_cycles,mark_and_sweep_freed,generational_cycles,generational_freed,high_importance_inserted,high_importance_retained,high_importance_retention,final_object_count,final_heap_used,final_fragmentation
ufo_first_fit_ttl_ms,2000.0,119.0,1.0,1.0,1.0,4142.691,0.0,13.0,79.0,79.0,0.0,79.0,1975.0,0.0,0.0,0.0,0.0,1.0,25.0,7901.0,0.0
ufo_best_fit_gen,2000.0,119.0,1.0,1.0,1.0,4142.691,0.0,13.0,79.0,79.0,0.0,79.0,1975.0,79.0,0.0,0.0,0.0,1.0,25.0,7901.0,0.0
