allocator,baseline,baseline_hit1,capacity,delta_hit1,manager_hit1,manager_variant,queries,seed,window_size
BestFitAllocator,sliding,0.8486,4096.0,0.0172,0.8658,ttl_mark,5000.0,0.0,60.0
BestFitAllocator,reservoir,0.492,4096.0,0.3738,0.8658,ttl_mark,5000.0,0.0,60.0
BestFitAllocator,sliding,0.8486,4096.0,0.0172,0.8658,ttl_mark_gen,5000.0,0.0,60.0
BestFitAllocator,reservoir,0.4872,4096.0,0.3786,0.8658,ttl_mark_gen,5000.0,0.0,60.0
BestFitAllocator,sliding,0.8486,8192.0,0.0086,0.8572,ttl_mark,5000.0,0.0,60.0
BestFitAllocator,reservoir,0.4824,8192.0,0.3748,0.8572,ttl_mark,5000.0,0.0,60.0
BestFitAllocator,sliding,0.8486,8192.0,0.0086,0.8572,ttl_mark_gen,5000.0,0.0,60.0
BestFitAllocator,reservoir,0.4852,8192.0,0.372,0.8572,ttl_mark_gen,5000.0,0.0,60.0
